Dist Code,Year,State Code,State Name,Dist Name,RICE HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PEARL MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),BARLEY HARVEST PRICE (Rs per Quintal),CHICKPEA HARVEST PRICE (Rs per Quintal),PIGEONPEA HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),RAPE AND MUSTARD HARVEST PRICE (Rs per Quintal),CASTOR HARVEST PRICE (Rs per Quintal),LINSEED HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
707,2014,8,Orissa,Keonjhar,2760.0,1322.0,1553.0,1599.0,1288.0,1258.0,1653.5,1238.0,3586.0,4705.0,3932.0,5000.0,3667.0,3267.0,3775.0,3436.0,4200.0
707,2015,8,Orissa,Keonjhar,2833.33,1340.0,1633.0,1675.5,1351.0,1350.0,1678.0,1428.0,4481.0,7318.5,4183.0,5000.0,4233.0,3279.0,4368.5,3325.0,4272.5
707,2016,8,Orissa,Keonjhar,2564.33,1386.0,1800.0,1743.665,1400.0,1483.0,2100.0,1505.0,5232.5,4555.0,4350.0,5233.0,4400.0,3478.5,4100.0,3890.0,4837.0
708,2009,8,Orissa,Koraput,1671.0,929.0,1196.0,1016.0,905.0,1000.0,1010.0,932.0,2667.0,3728.0,2050.0,3000.0,3117.0,2371.0,2800.0,2977.5,2965.0
708,2010,8,Orissa,Koraput,1774.0,871.0,945.0,1150.0,938.0,1110.0,871.0,1041.5,2315.0,3508.0,2056.0,3000.0,3350.0,2700.0,2549.5,2889.0,4018.0
708,2011,8,Orissa,Koraput,1750.0,983.0,1300.0,1180.0,1032.0,968.0,950.0,1145.0,3313.0,3260.0,2388.0,2800.0,3380.0,3320.5,3212.5,3031.0,3810.0
708,2012,8,Orissa,Koraput,2006.5,1065.0,1428.0,1498.5,1249.5,1036.0,1100.0,1221.0,3000.0,4000.0,2650.0,3370.0,2517.0,3070.0,3371.0,3340.5,3000.0
708,2014,8,Orissa,Koraput,2760.0,1251.0,1513.0,1599.0,1288.0,1250.0,1266.0,1238.0,3586.0,4705.0,3264.0,4350.0,3700.0,3267.0,3775.0,3436.0,4200.0
708,2015,8,Orissa,Koraput,2833.33,1279.0,1568.0,1675.5,1351.0,1320.0,1476.0,1428.0,4481.0,7318.5,3600.0,5067.0,4300.0,3279.0,4368.5,3325.0,4272.5
708,2016,8,Orissa,Koraput,2564.33,1294.0,1629.0,1743.665,1400.0,1333.0,1609.0,1505.0,5232.5,4555.0,4350.0,5050.0,4350.0,3478.5,4100.0,3890.0,4837.0
709,2009,8,Orissa,Mayurbhanja,1671.0,883.0,1140.0,1016.0,905.0,935.0,961.0,932.0,2226.0,3728.0,2550.0,2575.0,2779.0,2371.0,2600.0,2977.5,2965.0
709,2010,8,Orissa,Mayurbhanja,1774.0,979.0,1360.0,1150.0,938.0,856.0,1100.0,1041.5,2315.0,3508.0,2856.0,3013.0,3250.0,2700.0,2549.5,2889.0,4018.0
709,2011,8,Orissa,Mayurbhanja,1750.0,998.0,1370.0,1180.0,1032.0,759.0,1131.0,1145.0,3313.0,3260.0,2300.0,4600.0,3300.0,3320.5,3212.5,3031.0,3810.0
709,2012,8,Orissa,Mayurbhanja,2006.5,1097.0,1500.0,1498.5,1249.5,842.0,1564.0,1221.0,3000.0,3714.0,4158.0,6604.0,3167.0,3070.0,3371.0,3340.5,3996.0
709,2014,8,Orissa,Mayurbhanja,2760.0,1292.0,1534.0,1599.0,1288.0,1218.0,1653.5,1238.0,3586.0,4705.0,3485.0,4416.0,3676.0,3267.0,3775.0,3436.0,4200.0
709,2015,8,Orissa,Mayurbhanja,2833.33,1308.0,1620.0,1675.5,1351.0,1283.0,1678.0,1428.0,4481.0,7318.5,3729.0,4720.0,4237.0,3279.0,4368.5,3325.0,4272.5
709,2016,8,Orissa,Mayurbhanja,2564.33,1330.0,1640.0,1743.665,1400.0,1345.0,2084.0,1505.0,5232.5,4555.0,3571.0,4792.0,4451.0,3478.5,4100.0,3890.0,4837.0
710,2009,8,Orissa,Phulbani ( Kandhamal ),1671.0,900.0,1196.0,1016.0,905.0,869.0,961.0,932.0,2226.0,3728.0,2220.0,3075.0,2638.0,2371.0,2800.0,2977.5,2965.0
710,2010,8,Orissa,Phulbani ( Kandhamal ),1774.0,1037.0,1200.0,1150.0,938.0,943.0,1100.0,1041.5,2315.0,3508.0,2033.0,4550.0,2938.0,2700.0,2549.5,2889.0,4018.0
710,2011,8,Orissa,Phulbani ( Kandhamal ),1750.0,1055.0,1219.0,1180.0,1032.0,1020.0,1131.0,1145.0,3313.0,3260.0,2300.0,4600.0,3133.0,3320.5,3212.5,3031.0,3810.0
710,2012,8,Orissa,Phulbani ( Kandhamal ),2006.5,1183.0,1103.0,1498.5,1249.5,1067.0,1564.0,1221.0,3453.0,3687.5,2558.0,6604.0,3333.0,3070.0,3371.0,3340.5,3996.0
710,2014,8,Orissa,Phulbani ( Kandhamal ),2760.0,1355.0,1513.0,1599.0,1288.0,1333.0,1438.0,1238.0,3586.0,4705.0,3546.0,4950.0,3735.0,3267.0,3775.0,3436.0,4200.0
710,2015,8,Orissa,Phulbani ( Kandhamal ),2833.33,1363.0,1568.0,1675.5,1351.0,1375.0,1650.0,1428.0,4481.0,7318.5,4000.0,5000.0,4295.0,3279.0,4368.5,3325.0,4272.5
710,2016,8,Orissa,Phulbani ( Kandhamal ),2564.33,1375.0,1629.0,1743.665,1400.0,1500.0,2084.0,1505.0,5232.5,4555.0,4313.0,5292.0,4310.0,3478.5,4100.0,3890.0,4837.0
711,2009,8,Orissa,Puri,1671.0,904.0,1200.0,1016.0,905.0,869.0,1000.0,932.0,2226.0,2600.0,2413.0,3075.0,2750.0,2371.0,1800.0,2977.5,2965.0
711,2010,8,Orissa,Puri,1774.0,978.0,1200.0,1150.0,938.0,943.0,1200.0,1041.5,2315.0,3508.0,2438.0,3200.0,2400.0,2700.0,2549.5,2889.0,4018.0
711,2011,8,Orissa,Puri,1750.0,996.0,1400.0,1180.0,1032.0,1020.0,1200.0,1145.0,3313.0,3260.0,3288.0,3217.0,3092.5,3320.5,3212.5,3031.0,3810.0
711,2012,8,Orissa,Puri,2006.5,1066.0,1428.0,1498.5,1249.5,1202.0,1564.0,1221.0,3453.0,3687.5,4158.0,6604.0,3225.5,3070.0,3371.0,3340.5,3996.0
711,2014,8,Orissa,Puri,2760.0,1282.0,1513.0,1599.0,1288.0,1255.0,1555.0,1238.0,3586.0,4705.0,3200.0,4700.0,3468.0,3267.0,3775.0,3436.0,4200.0
711,2015,8,Orissa,Puri,2833.33,1354.0,1568.0,1675.5,1351.0,1372.5,1700.0,1428.0,4481.0,7318.5,3800.0,4800.0,3696.0,3279.0,4368.5,3325.0,4272.5
