State Name,Dist Name,Total Irrigation,ANNUAL RAINFALL (Millimeters)
Rajasthan,Jodhpur,553.1115,334.23199999999997
Rajasthan,Kota,586.1377,762.862
Rajasthan,Nagaur,360.5675,400.71
Rajasthan,Pali,280.4271,472.552
Rajasthan,Sikar,409.16549999999995,470.63214285714287
Rajasthan,Sirohi,231.83869999999996,781.7230769230769
Rajasthan,Swami Madhopur,366.3001,692.3961538461538
Rajasthan,Tonk,308.43870000000004,599.6583333333333
Rajasthan,Udaipur,356.0644,650.342
Tamil Nadu,Coimbatore,256.287,1004.8836734693878
Tamil Nadu,Kanyakumari,124.0634,1307.5892857142858
Tamil Nadu,Madurai,273.8478,835.9142857142858
Tamil Nadu,North Arcot / Vellore,397.439,1017.8285714285714
Tamil Nadu,Ramananthapuram,272.3116,852.265306122449
Tamil Nadu,Salem,408.3111,938.7102040816328
Tamil Nadu,South Arcot / Cuddalore,576.0310999999999,1184.5326530612244
Tamil Nadu,Thanjavur,776.2243,1067.3183673469389
Tamil Nadu,The Nilgiris,105.54429999999999,1648.3265306122448
Tamil Nadu,Thirunelveli,235.7009,862.1734693877551
Tamil Nadu,Tiruchirapalli / Trichy,372.5805,775.6428571428571
Telangana,Adilabad,183.29250000000002,1074.2
Telangana,Hyderabad,143.1538,827.966
Telangana,Karimnagar,424.4904,938.824
Telangana,Khammam,281.7123,1108.61
Telangana,Mahabubnagar,266.3333,662.988
Telangana,Medak,229.55720000000002,833.6224489795918
Telangana,Nalgonda,392.8516,706.306
Telangana,Nizamabad,365.4147,993.932
Telangana,Warangal,366.08299999999997,991.316
Uttar Pradesh,Agra,491.0036,610.6739130434783
Uttar Pradesh,Aligarh,800.4613999999999,635.6391304347826
Uttar Pradesh,Allahabad,768.9678,826.5239130434783
Uttar Pradesh,Azamgarh,853.927,860.1325581395348
Uttar Pradesh,Bahraich,548.9768,1133.6673913043478
Uttar Pradesh,Ballia,482.42719999999997,750.5
Uttar Pradesh,Banda,524.5607,798.0391304347827
Uttar Pradesh,Barabanki,617.7717,907.5418604651164
Uttar Pradesh,Bareilly,636.6380000000001,891.3021739130435
Uttar Pradesh,Basti,791.9892,978.7184210526316
Uttar Pradesh,Bijnor,573.0553,1006.0288888888888
Uttar Pradesh,Budaun,672.796,752.4300000000001
Uttar Pradesh,Buland Shahar,732.3143,624.6765957446809
Uttar Pradesh,Deoria,764.3969,924.8255813953488
Uttar Pradesh,Etah,643.6912,614.6631578947369
Uttar Pradesh,Etawah,574.6277,618.6615384615385
Uttar Pradesh,Faizabad,718.0426,946.1581395348838
Uttar Pradesh,Farrukhabad,593.2637000000001,739.0447368421053
Uttar Pradesh,Fatehpur,497.1312999999999,770.8826086956522
Uttar Pradesh,Ghazipur,569.8465,839.3697674418605
Uttar Pradesh,Gonda,704.5824,1049.3130434782609
Uttar Pradesh,Gorakhpur,640.9251,1290.9108695652174
Uttar Pradesh,Hamirpur,523.3534999999999,763.5547619047619
Uttar Pradesh,Hardoi,729.2879999999999,750.3652173913044
Uttar Pradesh,Jalaun,526.6257999999999,760.6071428571429
Uttar Pradesh,Jaunpur,589.5381,790.6431818181819
Uttar Pradesh,Jhansi,817.5588999999999,785.4133333333333
Uttar Pradesh,Kanpur,561.0024,586.925
Uttar Pradesh,Kheri,790.9058,1096.4666666666667
Uttar Pradesh,Lucknow,395.9323,808.3891304347826
Uttar Pradesh,Mainpuri,625.4108,667.3244444444445
Uttar Pradesh,Mathura,471.93999999999994,554.0340909090909
Uttar Pradesh,Meerut,811.5220999999999,723.4787234042553
Uttar Pradesh,Moradabad,797.5766,926.3953488372092
Uttar Pradesh,Muzaffarnagar,621.4712999999999,713.1886363636363
Uttar Pradesh,Pilibhit,556.8066,814.0666666666666
